Rank,Company,SS,AS,CCS,OES,RTS,TOS
1,hindustan_zinc_ltd_2023_2024,0.3376,1.0,0.7778,1.0,1.0,0.7788
2,kalpataru_projects_international_ltd_2023_2024,0.3823,1.0,0.6667,1.0,1.0,0.7622
3,eidparry_india_ltd_2023_2024,0.3787,1.0,0.6667,1.0,1.0,0.7613
4,tata_steel_ltd_2023_2024,0.3289,1.0,0.6667,1.0,1.0,0.7489
5,polycab_india_ltd_2023_2024,0.3184,1.0,0.6667,1.0,1.0,0.7463
6,angel_one_ltd_2023_2024,0.4125,1.0,0.5556,1.0,1.0,0.742
7,jay_bharat_maruti_ltd_2023_2024,0.2958,1.0,0.6667,1.0,1.0,0.7406
8,orient_electric_ltd_2023_2024,0.4044,1.0,0.5556,1.0,1.0,0.74
9,jm_financial_ltd_2023_2024,0.2924,1.0,0.6667,1.0,1.0,0.7398
10,signatureglobal_india_ltd_2023_2024,0.4625,1.0,0.4444,1.0,1.0,0.7267
11,tejas_networks_ltd_2023_2024,0.5721,1.0,0.3333,1.0,1.0,0.7263
12,minda_corporation_ltd_2023_2024,0.417,1.0,0.7778,0.7,1.0,0.7237
13,deepak_fertilisers_petrochemicals_corporation_ltd_2023_2024,0.4094,1.0,0.7778,0.7,1.0,0.7218
14,exide_industries_ltd_2023_2024,0.3038,1.0,0.7778,0.8,1.0,0.7204
15,gulf_oil_lubricants_india_ltd_2023_2024,0.4234,1.0,0.4444,1.0,1.0,0.717
16,vedanta_limited_2023_2024,0.3032,1.0,0.5556,1.0,1.0,0.7147
17,sonata_software_ltd_2023_2024,0.3899,1.0,0.4444,1.0,1.0,0.7086
18,hitachi_energy_india_ltd_2023_2024,0.3481,1.0,0.7778,0.7,1.0,0.7065
19,lt_finance_holdings_ltd_2022_2023,0.4551,1.0,0.6667,0.7,1.0,0.7054
20,nuvama_wealth_management_ltd_2023_2024,0.3726,1.0,0.4444,1.0,1.0,0.7043
21,karnataka_bank_ltd_2023_2024,0.3695,1.0,0.4444,1.0,1.0,0.7035
22,wpil_ltd_2023_2024,0.3607,1.0,0.4444,1.0,1.0,0.7013
23,irm_energy_ltd_2023_2024,0.2463,1.0,0.5556,1.0,1.0,0.7005
24,jyoti_structures_ltd_2023_2024,0.3474,1.0,0.4444,1.0,1.0,0.698
25,tata_steel_long_products_ltd_2022_2023,0.313,1.0,0.7778,0.7,1.0,0.6977
26,star_health_and_allied_insurance_company_ltd_2023_2024,0.3257,1.0,0.4444,1.0,1.0,0.6925
27,lt_finance_ltd_2023_2024,0.3982,1.0,0.6667,0.7,1.0,0.6912
28,balrampur_chini_mills_ltd_2023_2024,0.397,1.0,0.6667,0.7,1.0,0.6909
29,itc_ltd_2023_2024,0.4247,1.0,0.3333,1.0,1.0,0.6895
30,bharat_petroleum_corporation_ltd_2023_2024,0.4083,1.0,0.3333,1.0,1.0,0.6854
31,onward_technologies_ltd_2023_2024,0.3597,1.0,0.6667,0.7,1.0,0.6816
32,jk_paper_ltd_2023_2024,0.4628,1.0,0.5556,0.7,1.0,0.6796
33,asahi_india_glass_ltd_2023_2024,0.3426,1.0,0.6667,0.7,1.0,0.6773
34,syngene_international_ltd_2023_2024,0.3415,1.0,0.6667,0.7,1.0,0.677
35,amara_raja_batteries_ltd_2022_2023,0.3285,1.0,0.6667,0.7,1.0,0.6738
36,uflex_ltd_2023_2024,0.3279,1.0,0.6667,0.7,1.0,0.6736
37,shipping_corporation_of_india_ltd_2023_2024,0.3546,1.0,0.3333,1.0,1.0,0.672
38,cipla_ltd_2023_2024,0.3508,1.0,0.3333,1.0,1.0,0.671
39,ifgl_refractories_ltd_2023_2024,0.3128,1.0,0.5556,0.8,1.0,0.6671
40,nestle_india_ltd_2023_2024,0.3114,1.0,0.5556,0.8,1.0,0.6667
41,reliance_industries_ltd_2023_2024,0.3087,1.0,0.5556,1.0,0.5,0.6661
42,dcx_systems_ltd_2023_2024,0.33,1.0,0.3333,1.0,1.0,0.6658
43,ethos_ltd_2023_2024,0.4062,1.0,0.5556,0.7,1.0,0.6654
44,jai_corp_ltd_2023_2024,0.173,0.6667,0.6667,1.0,1.0,0.6599
45,kirloskar_brothers_ltd_2023_2024,0.3776,1.0,0.5556,0.7,1.0,0.6583
46,deepak_nitrite_ltd_2023_2024,0.2844,1.0,0.3333,1.0,1.0,0.6544
