Rank,Company,SS,AS,CCS,OES,RTS,TOS
1,vmart_retail_ltd_2023_2024,0.3269,1.0,0.6667,1.0,1.0,0.7484
2,nestle_india_ltd_2023_2024,0.2711,1.0,0.6667,1.0,1.0,0.7344
3,cummins_india_ltd_2023_2024,0.4665,1.0,0.4444,1.0,1.0,0.7277
4,saintgobain_sekurit_india_ltd_2023_2024,0.3521,1.0,0.5556,1.0,1.0,0.7269
5,nhpc_ltd_2023_2024,0.4448,1.0,0.4444,1.0,1.0,0.7223
6,grindwell_norton_ltd_2023_2024,0.3316,1.0,0.5556,1.0,1.0,0.7218
7,uti_asset_management_company_ltd_2023_2024,0.3146,1.0,0.5556,1.0,1.0,0.7175
8,gail_india_ltd_2023_2024,0.3516,1.0,0.4444,1.0,1.0,0.699
9,allcargo_gati_ltd_2023_2024,0.341,1.0,0.4444,1.0,1.0,0.6964
10,wockhardt_ltd_2023_2024,0.3177,1.0,0.4444,1.0,1.0,0.6905
11,zee_entertainment_enterprises_ltd_2022_2023,0.3119,1.0,0.4444,1.0,1.0,0.6891
12,adani_energy_solutions_ltd_2023_2024,0.3588,1.0,0.6667,0.7,1.0,0.6814
13,eidparry_india_ltd_2023_2024,0.3884,1.0,0.3333,1.0,1.0,0.6804
14,black_box_ltd_2023_2024,0.3257,1.0,0.5556,1.0,0.5,0.6703
15,torrent_power_ltd_2023_2024,0.975,1.0,0.0,0.7,1.0,0.6687
16,allcargo_logistics_ltd_2023_2024,0.3323,1.0,0.3333,1.0,1.0,0.6664
17,railtel_corporation_of_india_ltd_2022_2023,0.3022,1.0,0.5556,1.0,0.5,0.6644
18,bharat_petroleum_corporation_ltd_2023_2024,0.3967,1.0,0.5556,0.7,1.0,0.6631
19,ratnamani_metals_tubes_ltd_2023_2024,0.2958,1.0,0.5556,1.0,0.5,0.6628
20,blue_dart_express_ltd_2023_2024,0.3147,1.0,0.3333,1.0,1.0,0.662
21,excel_industries_ltd_2023_2024,0.4208,1.0,0.2222,1.0,1.0,0.6608
22,jindal_worldwide_ltd_2023_2024,0.3083,1.0,0.3333,1.0,1.0,0.6604
23,sun_pharmaceutical_industries_ltd_2023_2024,0.3588,1.0,0.6667,1.0,0.0,0.6564
24,heg_ltd_2023_2024,0.4569,1.0,0.6667,0.5,1.0,0.6559
25,agarwal_industrial_corporation_ltd_2023_2024,0.3527,1.0,0.6667,1.0,0.0,0.6548
26,juniper_hotels_ltd_2023_2024,0.3588,1.0,0.5556,0.7,1.0,0.6536
27,brigade_enterprises_ltd_2023_2024,0.2471,1.0,0.6667,0.7,1.0,0.6534
28,prakash_industries_ltd_2023_2024,0.2569,0.6667,0.5556,1.0,1.0,0.6531
29,shree_pushkar_chemicals_fertilisers_ltd_2023_2024,0.475,0.6667,0.3333,1.0,1.0,0.6521
30,lic_housing_finance_ltd_2023_2024,0.3728,1.0,0.2222,1.0,1.0,0.6488
31,rites_ltd_2023_2024,0.3607,1.0,0.2222,1.0,1.0,0.6457
32,kcpltd_2023_2024,0.3246,1.0,0.5556,0.7,1.0,0.645
33,hfcl_ltd_2023_2024,0.4343,1.0,0.4444,0.7,1.0,0.6447
34,ador_welding_ltd_2023_2024,0.3505,1.0,0.2222,1.0,1.0,0.6432
35,thyrocare_technologies_ltd_2023_2024,0.4147,1.0,0.5556,1.0,0.0,0.6426
36,pvr_ltd_2021_2022,0.4208,1.0,0.4444,0.7,1.0,0.6413
37,the_phoenix_mills_ltd_2023_2024,0.3154,1.0,0.4444,1.0,0.5,0.64
38,aia_engineering_ltd_2022_2023,0.3341,1.0,0.2222,1.0,1.0,0.6391
39,star_health_and_allied_insurance_company_ltd_2023_2024,0.4358,1.0,0.1111,1.0,1.0,0.6367
40,crisil_ltd_2022_2023,0.3171,1.0,0.2222,1.0,1.0,0.6348
41,tata_consultancy_services_ltd_2023_2024,0.3023,1.0,0.2222,1.0,1.0,0.6311
42,infobeans_technologies_ltd_2023_2024,0.3022,1.0,0.2222,1.0,1.0,0.6311
43,orient_electric_ltd_2023_2024,0.3793,1.0,0.4444,0.7,1.0,0.6309
44,360_one_wam_ltd_2023_2024,0.3787,1.0,0.4444,0.7,1.0,0.6308
45,esab_india_ltd_2023_2024,0.3753,1.0,0.4444,0.7,1.0,0.6299
46,optiemus_infracom_ltd_2023_2024,0.2651,0.6667,0.4444,1.0,1.0,0.6274
47,thomas_cook_india_ltd_2023_2024,0.3982,1.0,0.1111,1.0,1.0,0.6273
48,ramkrishna_forgings_ltd_2023_2024,0.3967,1.0,0.1111,1.0,1.0,0.627
49,aditya_birla_capital_ltd_2023_2024,0.2515,1.0,0.5556,0.7,1.0,0.6268
50,krbl_ltd_2023_2024,0.2844,1.0,0.2222,1.0,1.0,0.6267
51,dhanuka_agritech_ltd_2023_2024,0.475,0.6667,0.2222,1.0,1.0,0.6243
52,gati_ltd_2022_2023,0.2714,1.0,0.2222,1.0,1.0,0.6234
53,bajaj_auto_ltd_2023_2024,0.2705,1.0,0.2222,1.0,1.0,0.6232
54,mahindra_holidays_resorts_india_ltd_2023_2024,0.2463,1.0,0.4444,0.8,1.0,0.6227
55,navin_fluorine_international_limited_2023_2024,0.2404,0.6667,0.4444,1.0,1.0,0.6212
56,power_finance_corporation_ltd_2023_2024,0.3727,1.0,0.1111,1.0,1.0,0.621
57,torrent_pharmaceuticals_ltd_2023_2024,0.3338,1.0,0.4444,0.7,1.0,0.6196
58,shipping_corporation_of_india_ltd_2023_2024,0.3612,1.0,0.1111,1.0,1.0,0.6181
59,hinduja_global_solutions_ltd_2023_2024,0.3531,1.0,0.1111,1.0,1.0,0.6161
60,max_financial_services_ltd_2023_2024,0.307,1.0,0.5556,1.0,0.0,0.6156
61,coromandel_international_ltd_2023_2024,0.3487,1.0,0.1111,1.0,1.0,0.6149
62,minda_corporation_ltd_2023_2024,0.3128,1.0,0.4444,0.7,1.0,0.6143
63,sbi_cards_and_payment_services_ltd_2023_2024,0.4234,1.0,0.3333,0.7,1.0,0.6142
64,uflex_ltd_2023_2024,0.2925,1.0,0.5556,1.0,0.0,0.612
65,kennametal india ltd._brsr2023,0.2815,1.0,0.6667,0.7,0.5,0.612
66,kirloskar_oil_engines_ltd_2023_2024,0.2976,1.0,0.4444,0.7,1.0,0.6105
67,zfsteering_gear_india_ltd_2022_2023,0.3083,1.0,0.3333,1.0,0.5,0.6104
68,delhivery_ltd_2023_2024,0.2162,1.0,0.2222,1.0,1.0,0.6096
69,refex_industries_limited_2023_2024,0.3212,1.0,0.1111,1.0,1.0,0.6081
70,gujarat_fluorochemicals_ltd_2023_2024,0.3979,1.0,0.3333,0.7,1.0,0.6078
71,great_eastern_shipping_coltd_2023_2024,0.3185,1.0,0.1111,1.0,1.0,0.6074
72,sbi_life_insurance_company_ltd_2023_2024,0.2705,1.0,0.5556,1.0,0.0,0.6065
73,tvs_motor_company_ltd_2023_2024,0.3861,1.0,0.3333,0.7,1.0,0.6048
74,lumax_industries_ltd_2023_2024,0.2731,1.0,0.4444,0.7,1.0,0.6044
75,pvr_inox_ltd_2023_2024,0.3509,1.0,0.5556,0.5,1.0,0.6016
76,supreme_petrochem_ltd_2023_2024,0.2731,1.0,0.3333,1.0,0.5,0.6016
77,ltimindtree_ltd_2023_2024,0.2574,1.0,0.4444,0.7,1.0,0.6005
78,welspun_living_ltd_2023_2024,0.3607,1.0,0.3333,0.7,1.0,0.5985
79,hindustan_unilever_ltd_2023_2024,0.2304,1.0,0.5556,1.0,0.0,0.5965
80,dcm_nouvelle_ltd_2023_2024,0.3246,1.0,0.5556,0.5,1.0,0.595
81,dwarikesh_sugar_industries_ltd_2023_2024,0.2404,0.6667,0.3333,1.0,1.0,0.5934
82,surya_roshni_ltd_2023_2024,0.2274,1.0,0.4444,0.7,1.0,0.5929
83,mahindra_lifespace_developers_ltd_2023_2024,0.3373,1.0,0.3333,0.7,1.0,0.5927
