Rank,Company,SS,AS,CCS,OES,RTS,TOS
1,asahi_india_glass_ltd_2023_2024,0.5065,1.0,0.9091,1.0,1.0,0.8539
2,orient_electric_ltd_2023_2024,0.452,1.0,0.9091,1.0,1.0,0.8403
3,cipla_ltd_2023_2024,0.3366,1.0,1.0,1.0,1.0,0.8341
4,rushil_decor_ltd_2023_2024,0.4187,1.0,0.9091,1.0,1.0,0.832
5,patel_engineering_ltd_2023_2024,0.4117,1.0,0.9091,1.0,1.0,0.8302
6,kirloskar_brothers_ltd_2023_2024,0.408,1.0,0.9091,1.0,1.0,0.8293
7,gabriel_india_ltd_2023_2024,0.4017,1.0,0.9091,1.0,1.0,0.8277
8,mangalore_chemicals_fertilizers_ltd_2023_2024,0.3952,1.0,0.9091,1.0,1.0,0.8261
9,rashtriya_chemicals_fertilizers_ltd_2023_2024,0.3846,1.0,0.9091,1.0,1.0,0.8234
10,tata_steel_ltd_2023_2024,0.376,1.0,0.9091,1.0,1.0,0.8213
11,kec_international_ltd_2023_2024,0.3753,1.0,0.9091,1.0,1.0,0.8211
12,jindal_steel_power_ltd_2023_2024,0.3712,1.0,0.9091,1.0,1.0,0.8201
13,mitsu_chem_plast_ltd_2023_2024,0.3703,1.0,0.9091,1.0,1.0,0.8198
14,shree_pushkar_chemicals_fertilisers_ltd_2023_2024,0.365,1.0,0.9091,1.0,1.0,0.8185
15,finolex_cables_ltd_2023_2024,0.3587,1.0,0.9091,1.0,1.0,0.8169
16,hindustan_zinc_ltd_2023_2024,0.3547,1.0,0.9091,1.0,1.0,0.816
17,sandhar_technologies_ltd_2023_2024,0.3546,1.0,0.9091,1.0,1.0,0.8159
18,epl_ltd_2023_2024,0.3535,1.0,0.9091,1.0,1.0,0.8156
19,jsw_energy_ltd_2023_2024,0.3531,1.0,0.9091,1.0,1.0,0.8155
20,jay_bharat_maruti_ltd_2023_2024,0.4428,1.0,0.8182,1.0,1.0,0.8153
21,paradeep_phosphates_ltd_2023_2024,0.4398,1.0,0.8182,1.0,1.0,0.8145
22,balrampur_chini_mills_ltd_2023_2024,0.3474,1.0,0.9091,1.0,1.0,0.8141
23,koltepatil_developers_ltd_2023_2024,0.3449,1.0,0.9091,1.0,1.0,0.8135
