,specificity,actionability,compliance,outcome_evidence,risk_tone,transparency,TOS_final,NameOfTheCompany,Sector,min_TOS,max_TOS,TOS_range,SRS,Risk_Category
78,0.0,0.7778,0.14343999999999998,0.25,0.5972000000000001,0.45999999999999996,0.34196800000000005,Bharti Hexacom Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,18.731131303817623,Very High Risk
79,0.0,0.5556,0.085888,0.25,0.75832,0.598,0.3090296,Biocon Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,11.137301582110831,Very High Risk
80,0.0,0.7778,0.02196,0.25,0.6750000000000002,0.2,0.31245200000000006,Birla Corporation Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,11.976690190128005,Very High Risk
81,0.3,0.7778,0.042056,0.7,0.6050000000000001,0.594,0.5091711999999999,Birlasoft Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,60.174893294269836,Low Risk
82,0.3,0.7778,0.0339925,0.7,0.7562500000000001,0.605,0.5232335,Black Box Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,63.66044030675727,Low Risk
83,0.0,0.5556,0.016042499999999998,0.25,0.7562500000000001,0.2,0.2749535,Black Rose Industries Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,3.200585259199664,Very High Risk
84,0.0,0.5556,0.0990025,0.25,0.675,0.645,0.3056705,Blue Dart Express Limited,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,10.23577679735259,Very High Risk
85,0.0,0.5556,0.042944,0.25,0.675,0.6699999999999999,0.2957088,Borosil Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,9.0618908779641,Very High Risk
86,0.0,0.7778,0.0448625,0.25,0.7562500000000001,0.375,0.3339075,Britannia Industries Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,17.238933726626424,Very High Risk
87,0.0,0.5556,0.1220875,0.25,0.587475,0.41000000000000003,0.289785,C.E. INFO SYSTEMS LIMITED,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,5.796810477734328,Very High Risk
88,0.0,0.7778,0.02196,0.25,0.6750000000000002,0.2,0.31245200000000006,CAPACIT''E INFRAPROJECTS LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,13.790177736554302,Very High Risk
89,0.5,0.7778,0.078965,0.7,0.8833333333333334,0.42,0.5656863333333334,CAPITAL INDIA FINANCE LIMITED,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,78.56660839469335,Low Risk
90,0.0,0.5556,0.0244,0.25,0.675,0.45000000000000007,0.281,CARE Ratings Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,4.520489386657138,Very High Risk
91,0.0,0.7778,0.11704666666666666,0.25,0.7083333333333334,0.6366666666666666,0.35663600000000006,CARTRADE TECH LIMITED,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,22.366809932432112,High Risk
92,0.0,0.5556,0.043550000000000005,0.25,0.6750000000000002,0.45999999999999996,0.28533000000000003,CEAT Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,5.324663008430513,Very High Risk
93,0.0,0.5556,0.047336,0.25,0.7166600000000001,0.598,0.2971532,CELLO WORLD LIMITED,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,7.440657074485331,Very High Risk
94,0.0,0.7778,0.07478749999999999,0.45,0.6923583333333333,0.4,0.3947533333333334,CESC Limited,"Electricity, Gas, Steam and Air Conditioning Supply",0.2685,0.5983539999999999,0.3298539999999999,38.275519876470625,High Risk
95,0.0,0.7778,0.084235,0.45,0.8374999999999999,0.41000000000000003,0.41165700000000005,"CG Power and Industrial Solutions Limited (""the Company"" or ""CG"")",Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,36.30802108609064,High Risk
96,0.0,0.5556,0.0732,0.25,0.8833,0.45000000000000007,0.31159000000000003,CHENNAI PETROLEUM CORPORATION LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,13.546748566974717,Very High Risk
97,0.0,0.7778,0.079699,0.45,0.8258300000000001,0.41600000000000004,0.40988280000000005,CITY UNION BANK LIMITED,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,38.042545170469246,High Risk
98,0.0,0.5556,0.020217142857142857,0.45,0.9071428571428571,0.2,0.35087771428571435,COAL INDIA LIMITED,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,25.07141441325042,High Risk
99,0.5,1.0,0.074085,0.9,0.90695,0.4166666666666667,0.6713453333333333,COROMANDEL INTERNATIONAL LIMITED,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,100.0,Very Low Risk
100,0.65,0.7778,0.04148,0.7,0.675,0.2,0.5488560000000001,CSB Bank Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,74.18908577057167,Low Risk
101,0.0,0.7778,0.09326,0.45,0.7472222222222222,0.4044444444444445,0.40415644444444454,Can Fin Homes Limited (CFHL),Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,36.553136107574325,High Risk
102,0.3,0.7778,0.116,0.7,0.625,0.4257142857142857,0.5175457142857143,Canara Bank,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,66.04536803382645,Low Risk
103,0.6,0.7778,0.061488,0.7,0.675,0.468,0.5587576,Capri Global Capital Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,76.76446423495162,Low Risk
104,0.0,0.7778,0.03989,0.25,0.6749999999999999,0.5866666666666667,0.33537133333333335,Central Bank of India,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,18.662321105398835,Very High Risk
105,0.6,0.7778,0.08,0.7,0.6361,0.41666666666666674,0.5560033333333333,Centrum Capital Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,76.04808717887047,Low Risk
106,0.0,0.7778,0.06347142857142857,0.45,0.8607142857142857,0.63,0.42082571428571436,Century Textiles & Industries Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,38.556768842516774,High Risk
