NameOfTheCompany,Sector,P3_1_raw,P3_2_raw,P3_3_raw,P3_4_raw,P3_5_raw,P3_6_raw,P5_1_raw,P5_2_raw,P5_3_raw,P5_4_raw,P8_1_raw,P8_2_raw,P9_1_raw,P3_1_score,P3_2_score,P3_3_score,P3_4_score,P3_5_score,P3_6_score,P5_1_score,P5_2_score,P5_3_score,P5_4_score,P8_1_score,P8_2_score,P9_1_score,P3_composite,P5_composite,P8_composite,P9_composite,fatality_flag,flag_A,flag_B,flag_C,flag_D,social_quant_score,global_scored,final_social_score
BHARAT HEAVY ELECTRICALS LIMITED,Manufacturing,1.0,0.25,0.0034600726286562475,0.444,0.29165,1.0,0.09973333333333333,1.0,1.0,0.0009163103237629811,0.21089999999999998,4.087725024202739e-12,0.3333333333333333,34.89254108723135,20.606826801517066,18.45238095238095,90.0,89.75979772439949,23.794416243654823,84.19721871049305,18.63753213367609,17.38305941845765,79.63917525773195,71.93426042983565,19.215155615696887,52.275600505689,90.0,49.96424638008968,45.574708022766266,90.0,1,0,0,0,1,69.32369243644632,False,
BHARAT WIRE ROPES LIMITED,Manufacturing,1.0,0.375,0.0001299295005001952,0.0,0.83385,0.6237,0.48325,0.0,0.5,0.0,0.01,0.0,1.0,34.89254108723135,40.07585335018963,86.16071428571428,0.0,40.4551201011378,85.40609137055837,57.52212389380531,98.0719794344473,60.93552465233881,38.91752577319588,87.86346396965865,63.93775372124493,16.56131479140329,47.83172003247191,63.86178843844682,75.90060884545179,16.56131479140329,0,0,0,0,0,54.52553677240324,False,
BIGBLOC CONSTRUCTION LIMITED,Manufacturing,0.5,0.3125,,0.0,1.0,1.0,0.664,1.0,1.0,0.0,0.15,0.0,1.0,88.62199747155499,32.553729456384325,,0.0,10.429835651074598,23.794416243654823,43.8685208596713,18.63753213367609,17.38305941845765,38.91752577319588,77.68647281921618,63.93775372124493,16.56131479140329,31.07999576453375,29.701659546250227,70.81211327023055,16.56131479140329,0,0,0,0,0,35.10552761667599,False,
BIKAJI FOODS INTERNATIONAL LIMITED,Manufacturing,0.5,0.125,0.00019965979791952758,0.19,0.5,1.0,1.0,0.9182759276984143,0.5,0.0,0.5,0.0,1.0,88.62199747155499,7.774968394437421,82.58928571428572,68.14159292035397,75.53729456384323,23.794416243654823,7.458912768647281,48.329048843187664,60.93552465233881,38.91752577319588,35.524652338811634,63.93775372124493,16.56131479140329,57.743259218021684,38.91025300934241,49.73120303002828,16.56131479140329,0,0,0,0,0,45.83170417412309,False,
BLISS GVS PHARMA LIMITED,Manufacturing,1.0,0.8125,0.002073037515361306,0.0,0.6294,1.0,0.2098,0.9985465838509316,0.9,0.0,0.31,0.0,0.68,34.89254108723135,85.39823008849558,29.464285714285708,0.0,62.579013906447535,23.794416243654823,80.02528445006321,37.53213367609255,36.97850821744627,38.91752577319588,64.03286978508217,63.93775372124493,36.662452591656134,39.354747840019165,48.363363029199476,63.98531175316355,36.662452591656134,0,0,0,0,0,45.933118218367625,False,
BODAL CHEMICALS LIMITED,Manufacturing,0.404,0.0,,0.3891,0.8875500000000001,0.8034,0.0,1.0,0.0,0.0,0.38480000000000003,0.0,1.0,93.55246523388116,2.5284450063211126,,76.6118836915297,34.89254108723135,72.71573604060913,95.448798988622,18.63753213367609,89.25410872313527,38.91752577319588,53.603034134007586,63.93775372124493,16.56131479140329,56.06021421191449,60.56449140465731,58.77039392762626,16.56131479140329,0,0,0,0,0,54.09334824468012,False,
BOSCH LIMITED,Manufacturing,1.0,0.4375,0.00042419216672645956,0.18,0.6362500000000001,0.6221,0.45208333333333334,0.8180626446083438,0.67,0.004975124378109453,0.35350000000000004,1.362572526408063e-07,0.7166666666666667,34.89254108723135,47.97724399494311,69.3452380952381,67.88874841972186,61.820480404551205,85.53299492385787,59.797724399494314,62.59640102827764,42.85714285714286,87.62886597938144,59.039190897597976,6.089309878213797,36.09355246523388,61.24287448759059,63.220033566074065,32.564250387905886,36.09355246523388,0,0,0,0,0,55.11815434787143,False,
Bajaj Auto Ltd.,Manufacturing,1.0,0.25,0.000738632497148372,0.16,0.94295,1.0,1.0,0.64,0.837,0.010309278350515464,0.577,8.123531386371265e-12,0.6666666666666666,34.89254108723135,20.606826801517066,55.80357142857143,66.75094816687736,27.812895069532246,23.794416243654823,7.458912768647281,82.26221079691517,38.305941845764856,92.26804123711341,18.20480404551202,15.426251691474974,40.58154235145386,38.27686646623072,55.07377666211018,16.815527868493497,40.58154235145386,0,0,0,0,0,41.16705183365027,False,
Bajaj Consumer Care Limited (“BCCL”),Manufacturing,1.0,0.625,0.00101,0.0,1.0,1.0,0.26895,1.0,1.0,0.016666666666666666,0.545,0.0,1.0,34.89254108723135,69.59544879898863,47.395833333333336,0.0,10.429835651074598,23.794416243654823,77.4968394437421,18.63753213367609,17.38305941845765,95.03865979381443,22.250316055625788,63.93775372124493,16.56131479140329,31.01801251904712,52.13902269742257,43.09403488843536,16.56131479140329,0,0,0,0,0,38.77609966412238,False,
Bajaj Finance Limited,Manufacturing,1.0,1.0,0.0006681333755043195,0.0,0.908,0.8979,0.32058333333333333,1.0,0.5,0.002770935960591133,0.5333,1.6802652334351416e-05,0.0,34.89254108723135,93.8685208596713,58.18452380952381,0.0,32.237673830594176,62.37309644670051,73.07206068268016,18.63753213367609,60.93552465233881,84.27835051546391,24.905183312262963,2.9769959404600854,80.53097345132744,46.92605933895353,59.23086699603974,13.941089626361524,80.53097345132744,0,0,0,0,0,49.645487973282286,False,
