Rank,Company,SS,AS,CCS,OES,RTS,TOS
730,kabra_extrusiontechnik_ltd_2023_2024,0.2485,1.0,0.2222,0.3,0.5,0.3927
731,suven_pharmaceuticals_ltd_2023_2024,0.3257,1.0,0.4444,0.0,0.5,0.3925
732,bigbloc_construction_ltd_2023_2024,0.236,1.0,0.3333,0.0,1.0,0.3923
733,sobha_limited_2023_2024,0.233,1.0,0.3333,0.0,1.0,0.3916
734,cholamandalam_investment_and_finance_company_ltd_2023_2024,0.2085,1.0,0.5556,0.0,0.5,0.391
735,innova_captab_ltd_2023_2024,0.1398,0.0,0.2222,1.0,0.5,0.3905
736,hindware_home_innovation_ltd_2023_2024,0.2276,1.0,0.3333,0.0,1.0,0.3902
737,ptc_india_ltd_2023_2024,0.3128,1.0,0.4444,0.0,0.5,0.3893
738,housing_urban_development_corporation_ltd_2023_2024,0.1082,0.0,0.4444,1.0,0.0,0.3882
739,sai_silks_kalamandir_ltd_2023_2024,0.1285,0.3333,0.2222,0.8,0.5,0.3877
740,rainbow_childrens_medicare_ltd_2023_2024,0.2171,1.0,0.3333,0.0,1.0,0.3876
741,gland_pharma_ltd_2023_2024,0.2171,1.0,0.3333,0.0,1.0,0.3876
742,jyoti_structures_ltd_2023_2024,0.1043,0.3333,0.4444,0.8,0.0,0.3872
743,axis_bank_ltd_2023_2024,0.1043,0.0,0.4444,1.0,0.0,0.3872
744,hcl_technologies_ltd_2023_2024,0.1252,0.6667,0.2222,0.8,0.0,0.3869
745,mrf_ltd_2023_2024,0.2093,1.0,0.3333,0.0,1.0,0.3857
746,precision_wires_india_ltd_2023_2024,0.0977,0.0,0.4444,1.0,0.0,0.3855
747,shalimar_paints_ltd_2023_2024,0.2085,1.0,0.3333,0.0,1.0,0.3855
748,relaxo_footwears_ltd_2023_2024,0.1846,1.0,0.5556,0.0,0.5,0.385
749,mmtc_ltd_2023_2024,0.1138,0.0,0.2222,1.0,0.5,0.384
750,kitex_garments_ltd_2023_2024,0.3022,1.0,0.3333,0.3,0.0,0.3839
751,transformers_and_rectifiers_india_ltd_2023_2024,0.2012,1.0,0.3333,0.0,1.0,0.3836
752,alembic_pharmaceuticals_ltd_2023_2024,0.1949,1.0,0.3333,0.0,1.0,0.3821
753,bharti_hexacom_ltd_2023_2024,0.2606,1.0,0.6667,0.0,0.0,0.3818
754,bharti_airtel_ltd_2023_2024,0.2606,1.0,0.6667,0.0,0.0,0.3818
755,nirlon_ltd_2023_2024,0.1927,1.0,0.3333,0.0,1.0,0.3815
756,somany_ceramics_ltd_2023_2024,0.3018,1.0,0.2222,0.0,1.0,0.381
757,indostar_capital_finance_ltd_2023_2024,0.2791,1.0,0.4444,0.0,0.5,0.3809
758,aurionpro_solutions_ltd_2023_2024,0.277,1.0,0.4444,0.0,0.5,0.3803
759,cartrade_tech_ltd_2023_2024,0.2862,1.0,0.3333,0.3,0.0,0.3799
760,elantas_beck_india_ltd_2022_2023,0.1846,1.0,0.3333,0.0,1.0,0.3795
761,jubilant_ingrevia_ltd_2023_2024,0.2924,1.0,0.2222,0.0,1.0,0.3787
762,sundram_fasteners_ltd_2023_2024,0.1803,1.0,0.3333,0.0,1.0,0.3784
763,oriental_hotels_ltd_2023_2024,0.173,1.0,0.3333,0.0,1.0,0.3766
764,sasken_technologies_ltd_2022_2023,0.2842,1.0,0.2222,0.0,1.0,0.3766
765,fedbank_financial_services_ltd_2023_2024,0.2606,1.0,0.4444,0.0,0.5,0.3763
766,kpr_mill_limited_2023_2024,0.1698,1.0,0.3333,0.0,1.0,0.3758
767,uco_bank_2023_2024,0.0569,0.0,0.4444,0.8,0.5,0.3753
768,hero_motocorp_ltd_2023_2024,0.1737,1.0,0.2222,0.3,0.5,0.374
769,confidence_petroleum_india_ltd_2023_2024,0.2515,1.0,0.4444,0.0,0.5,0.374
770,united_drilling_tools_ltd_2023_2024,0.2515,1.0,0.4444,0.0,0.5,0.374
771,monarch_networth_capital_ltd_2023_2024,0.1512,1.0,0.4444,0.3,0.0,0.3739
772,page_industries_ltd_2023_2024,0.2504,1.0,0.4444,0.0,0.5,0.3737
773,dee_development_engineers_ltd_2023_2024,0.3607,1.0,0.3333,0.0,0.5,0.3735
774,mahindra_epc_irrigation_ltd_2023_2024,0.2705,1.0,0.2222,0.0,1.0,0.3732
775,aia_engineering_ltd_2022_2023,0.2587,1.0,0.3333,0.3,0.0,0.373
776,neuland_laboratories_ltd_2023_2024,0.146,0.3333,0.4444,0.7,0.0,0.3726
777,supriya_lifescience_ltd_2023_2024,0.1443,0.6667,0.4444,0.3,0.5,0.3722
778,borosil_ltd_2023_2024,0.2437,1.0,0.4444,0.0,0.5,0.372
779,hindustan_construction_coltd_2023_2024,0.1927,0.7667,0.3333,0.5,0.0,0.3715
780,jamna_auto_industries_ltd_2022_2023,0.1629,0.6667,0.2222,0.5,0.5,0.3713
781,radico_khaitan_ltd_2023_2024,0.1395,0.0,0.4444,0.7,0.5,0.371
782,nitin_spinners_ltd_2023_2024,0.1395,0.3333,0.4444,0.5,0.5,0.371
783,arvind_smartspaces_ltd_2023_2024,0.1274,1.0,0.5556,0.0,0.5,0.3707
784,jkcement_ltd_2023_2024,0.3257,1.0,0.5556,0.0,0.0,0.3703
785,emami_paper_mills_ltd_2023_2024,0.1202,0.6667,0.5556,0.0,1.0,0.3689
786,radiant_cash_management_services_ltd_2023_2024,0.0975,0.6667,0.7778,0.0,0.5,0.3688
